parameter,value,category,evidence_basis,data_used,decision_date,outcome_access,frozen_version,owner,status,notes
outcome_custodian,principal researcher (user),A,User designation,None,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Protocol owner,FIXED_DRAFT,Technical access-control mechanism remains to be frozen
outcome_custody_mechanism,PRINCIPAL_CUSTODIAN_FAIL_CLOSED_PARSER_AND_EXPLICIT_SINGLE_USE_UNLOCK,A,Explicit principal-researcher acceptance independent of outcomes,T1a/T1b access logs and restricted extractor,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Outcome custodian,FROZEN_GOVERNANCE,Principal retains original archives; dry-run verification remains required before F16 can pass
numeric_unlock_authority,PRINCIPAL_RESEARCHER_ONLY,A,Explicit principal-researcher governance decision,None,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Outcome custodian,FROZEN_GOVERNANCE,Requires written single-use authorization after all checks PASS and OSF plus GitHub evidence are complete
preunlock_access_test_status,PASS_SYNTHETIC_SENTINEL,C,Fail-closed test verified permitted and prohibited access behavior,Synthetic sentinel archive only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,VERIFIED,Explicit ROP request exited 17; permitted outputs contained no sentinel; real Layer D archives opened zero
preunlock_access_test_manifest_sha256,090867ED2ED6ACCFD85C6D1F04D83D55A22959EC701FEE28BB869285111FBAF2,C,SHA-256 of synthetic access-control evidence manifest,Synthetic test evidence only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,VERIFIED,Manifest covers fixture log result report and test script
measurement_semantic_contract_audit_status,PASS,C,Deterministic metadata-only completeness audit,Base and extension-v4 semantic contract CSV files,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Semantic-contract owner,VERIFIED,23 archive scopes; 115 rows; exact common4 plus ROP; zero failures
measurement_semantic_contract_audit_result_sha256,E108F727FA3498C9C5258854EC4A1EEF1BD67D50EF3BF47C5FEE5763C20EFA1D,C,SHA-256 of machine-readable completeness result,Contract metadata only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Semantic-contract owner,VERIFIED,Numeric ROP access false
synthetic_full_dry_run_status,PASS,C,End-to-end execution against script-generated data only,Synthetic 4-basin 8-field 17-family fixture,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,VERIFIED,All ten output shells generated; one frozen-coverage attrition exercised; real Layer D data opened zero
synthetic_full_dry_run_manifest_sha256,E436E4A9E926CFB91B4F4114722F08B95779ECAB6DA2CF5998D24BFD753C044B,C,SHA-256 of synthetic dry-run evidence manifest,Synthetic outputs and test script,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,VERIFIED,Manifest covers result report script and all ten output tables
claim_deviation_rule_test_status,PASS,C,Machine test of all claim and deviation branches,Governance files only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Protocol owner,VERIFIED,14 claim branches and D1 D2 D3 pre/post-unlock paths passed
claim_deviation_rule_test_result_sha256,ED2960A5081ED8701BB087DC4A72A1168E099585E759DC76F821688839F687D3,C,SHA-256 of machine-readable governance test result,Governance files only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Protocol owner,VERIFIED,Active deviation log contains no example row
principal_dependence_cohort_decision,ACCEPTED_AS_PROPOSED,A,Explicit principal-researcher review of the 36-family and 13-field packet,Label-blinded integration-v4 metadata only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Principal researcher,FROZEN_GOVERNANCE,Accepted at 2026-07-25T10:02:38Z
final_preunlock_dependence_registry_sha256,831CCF610ECB194B74F03463E1B1DEE5A69F0D80E251CEFC0B2B6BAD278D9796,C,SHA-256 of principal-approved 36-family registry,Label-blinded metadata only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Dependence owner,VERIFIED,36 unique dependence family IDs
final_preunlock_cohort_manifest_sha256,9CABFB60B028A9E54D10F1FA3ED488216F98DD1E1A7E07FFC9910DEC640C5A4D,C,SHA-256 of principal-approved preunlock cohort manifest,Label-blinded metadata only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Cohort owner,VERIFIED,23 qualified and 13 held families retained
trusted_timestamp_service,OSF_REGISTRATION_PRIMARY__GITHUB_SIGNED_RELEASE_SECONDARY__ZENODO_FINAL_DOI,A,User-selected independent evidence stack,None,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Protocol owner,FIXED_DRAFT,SHA-256 manifest provides content identity
principal_researcher_identity,"Lu Yuhan (陆宇晗)",A,Principal researcher supplied registration identity,None,2026-07-26,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Protocol owner,FIXED_DRAFT,
principal_researcher_affiliation,"Changzhou University; Changzhou, Jiangsu, China",A,Principal researcher supplied affiliation,None,2026-07-26,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Protocol owner,FIXED_DRAFT,
principal_researcher_orcid,https://orcid.org/0009-0006-8513-2732,A,Principal researcher supplied persistent identifier,None,2026-07-26,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Protocol owner,FIXED_DRAFT,
github_repository_ssh_url,git@github.com:ricadolu67-alt/-.git,A,Principal researcher supplied repository and browser verification confirmed an empty public repository,GitHub visible repository metadata only,2026-07-26,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,
github_ssh_public_key_fingerprint,SHA256:bARfzlmS6Tzj91hXCRf9mC3NnhcOIulh5zIUjov7j8w,C,Public-key fingerprint only; private key content is excluded,None,2026-07-26,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,"Initial SSH authentication failed because GitHub did not accept the supplied key"
git_commit_author_email,ricadolu67@gmail.com,A,Principal researcher authorized either supplied address and Gmail matches the verified GitHub account channel,None,2026-07-26,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Protocol owner,FIXED_DRAFT,
github_ssh_authentication_status,PASS,C,Authentication and signing registrations show the supplied ED25519 fingerprint and SSH ls-remote succeeds,GitHub account settings and empty target repository,2026-07-26,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,VERIFIED,"No repository content pushed"
split_primary_leakage_fraction_q,0.05,B,Mechanism-isolated replacement proportion fixed for interpretability before any Layer D outcome access,Source-only USROP sampling geometry,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Diagnostics owner,FIXED_DRAFT,"Primary only; 800 of 16000 fixed clean-base rows replaced"
split_repetitions,5,B,Uses all five already frozen learner seeds and avoids post hoc repetition selection,Source-only USROP only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Diagnostics owner,FIXED_DRAFT,
split_seeds,"20260722|20260723|20260724|20260725|20260726",C,Exact seeds inherited from frozen model manifest,None,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,
dependence_matching_algorithm,"cap each permitted unit at 4000 rows then downsample both conditions to the smaller total with the same seed",B,Separates identified dependence exposure from unequal training size,Source-only identified F-7/F-9 and F-15/F-15S cases,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Diagnostics owner,FIXED_DRAFT,
dependence_sensitivity_repetitions,5,B,Uses all five frozen seeds for deterministic matched-size sensitivity,Source-only identified cases,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Diagnostics owner,FIXED_DRAFT,
falsification_test_intervals_sha256,C4F03D109839E270DF5EFD134DC2AD3110CC61C27ED3D28F70D06CE4D85EB5B2,C,Content identity of fixed source-only diagnostic intervals,Source-only USROP geometry,2026-07-26,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Diagnostics owner,VERIFIED,
source_matched_diagnostic_manifest_sha256,446654923BD1407BFAF37BB3E81493D5B86F527AA4FF6F62A4A72046972554A5,C,Content identity of the successful complete source-only diagnostic run,Source-only USROP and historical v3 OOF tables,2026-07-26,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Diagnostics owner,VERIFIED,
MD_segment_gap_g_max,1.0 m,B,Above source 99.9th-percentile positive MD gap of 0.609 m while breaking 128 sparse discontinuities,Source-only USROP sampling audit,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Loss owner,FIXED_DRAFT,Canonical MD unit
MD_weight_cap_w_max,0.5 m,B,Half the frozen segment-breaking gap limits sparse and endpoint record influence,Source-only USROP sampling audit,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Loss owner,FIXED_DRAFT,Canonical MD unit
minimum_segment_length,2 unique MD points,B,Minimum required to define a positive representative depth interval,Source-only USROP sampling audit,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Loss owner,FIXED_DRAFT,
minimum_family_MD_coverage_L_min,100.0 m,B,Engineering coverage guard supporting at least one hundred 1 m sensitivity blocks rather than a performance threshold,Source-only USROP geometry and frozen block representation,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Loss owner,FIXED_DRAFT,Canonical MD unit
minimum_scoring_points_n_min,100,B,Independent row-count guard paired with the 100 m coverage requirement,Source-only USROP sampling audit,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Loss owner,FIXED_DRAFT,
minimum_valid_segments,1,B,At least one valid continuous segment is required to define family loss,Source-only USROP sampling audit,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Loss owner,FIXED_DRAFT,
fixed_depth_block_length,1.0 m,B,Engineering-readable density-robust sensitivity grid,Source-only USROP geometry,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Loss owner,FIXED_DRAFT,
fixed_depth_block_origin,0.0 m,B,Global deterministic origin prevents per-well alignment choices,None,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Loss owner,FIXED_DRAFT,
minimum_block_coverage,0.5 m,B,Requires at least half of a 1 m block to be represented without interpolation,Source-only USROP geometry,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Loss owner,FIXED_DRAFT,
feature_missing_fraction_maximum,0.20,B,Prespecified qualification guard retaining a minimum 80 percent observed support for each required feature,Source-only complete-source reference plus engineering QC rule,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,QC owner,FIXED_DRAFT,Missing feature values use frozen source medians only after family qualification
finite_fraction_minimum,0.80,B,Complement of the frozen 20 percent maximum missing or invalid fraction,Source-only complete-source reference plus engineering QC rule,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,QC owner,FIXED_DRAFT,
physical_range_rules,MD[0 15000]m|WOB[0 100]kkgf|RPM[0 500]rpm|SPP[0 70000]kPa|ROP(0 infinity)m/h,B,Engineering plausibility bounds and frozen semantic construct without target-performance feedback,Source metadata source covariates and unit definitions,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Semantic owner,FIXED_DRAFT,No upper ROP truncation
T1b_LAS_restricted_extractor_sha256,EA1FB990E081A1D9E83461FC021F08A3D35D078BB170A07580747DD3449FB57D,C,Hash of v2 fail-closed restricted extractor before accepted output,T1b extractor code and explicit header-description mappings,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,Only MD WOB surface RPM and SPP indices converted
T1b_LAS_family_QC_sha256,AF2530A63C0FF0BA30923D49D302856F124D20BD70BDC8E815E980798562F721,C,Hash of v2 aggregate family-level descriptive QC,T1b permitted covariate summaries only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,Thresholds not applied
T1b_LAS_access_log_sha256,24AADD81E3C4C05A0F380A4FBBC2E8C2021D1854A96C59F109532B8411F7DDC2,C,Hash of v2 restricted access log,T1b access metadata only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,ROP numeric tokens not converted or retained
source_sampling_audit_manifest_sha256,6502a4468ae0bf780018fa574d28cc52e40a1d3ccf1da8f029eadbfe0831c0c9,C,Hash of source-only sampling geometry audit manifest,Volve USROP source only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,No Layer D outcome accessed; public-safe logical paths
canonical_source_object_selection,object_pass_then_coverage_desc__valid_rows_desc__total_rows_desc__path_asc,B,Prevents alternate depth time and interpolated products from jointly weighting one family,T1b label-blinded covariate QC only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Measurement owner,FIXED_DRAFT,One source object per family; no ROP or model feedback used
label_blinded_qualified_families,20,C,Combined T1b frozen-rule qualification summary including prespecified preunlock extension,T1b covariates only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,ROP converted=false retained=false summarized=false
primary_qualified_fields,7,C,Combined T1b field qualification summary,T1b covariates and frozen identity only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,Below the required minimum of 8; outcome must remain locked
primary_basin_contexts,5,C,Combined preunlock field qualification summary,T1b covariates and frozen identity only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,Meets basin-context minimum but does not override failed field gate
preunlock_extension_T1a_manifest_sha256,E3AF038CBB50E2CE81FA5E8FE5C9191B7FD6B7DFC53BBB329C84289E8B8F0837,C,Hash of five-archive T1a structural and header audit,ZIP central directory and LAS headers only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,No numeric arrays or ROP values read
preunlock_extension_T1b_manifest_sha256,A7E886CDCED5D439F9445A42A70BDBCF7A07AFB3ED451A5EFF0609BF892BBAB8,C,Hash of five-family restricted T1b QC,T1b permitted covariate summaries only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,Two of five families qualified; no ROP values converted retained summarized or scored
preunlock_integration_manifest_sha256,DFFBEA9EF93E6A28C202266AE0F0D59F6EA82425E5107EEA84F66FD91F33D473,C,Hash of immutable inventory and field-gate integration,Acquisition metadata identity and T1b covariate status only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,Field gate 7 of 8 failed; outcome remains locked
preunlock_extension_v2_T1a_manifest_sha256,F8623BAB94677ABF5644E9218A9586B1962B5E7F0E8556629FF0F7F581D1E93E,C,Hash of Blacktip P1 P2 three-archive T1a audit,ZIP central directory and LAS headers only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,Three archives hash matched; 335 LAS headers; no numeric arrays or ROP values read
preunlock_extension_v2_T1b_manifest_sha256,F6DD6BC5B0C4ED1F5DF22809A4A90780B6EB2B8E6C0769FFA71FCDD8B5857E50,C,Hash of Blacktip P1 P2 restricted T1b QC,T1b permitted covariate summaries only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,Zero of two families qualified because no defensible surface RPM; CRPM and TRPM were not remapped
preunlock_integration_v2_manifest_sha256,22D880EBCAA512C0B2021DB3CF4DBFCCF23205C88AB0D1A9C3B7B9312B618B76,C,Hash of 96-file immutable inventory and field-gate integration,Acquisition metadata identity and T1b covariate status only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,Field gate remains 7 of 8; outcome remains locked
preunlock_extension_v3_T1a_manifest_sha256,DA249E6E528589749A777F15984B1C45F697E936DDCC1B4874C1793603421065,C,Hash of Scarborough three-archive T1a audit,ZIP central directory and LAS headers only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,Three archives hash matched; 27 LAS headers; no numeric arrays or ROP values read
preunlock_extension_v3_T1b_manifest_sha256,556D155F8DDB42FC8748ED3F14FC0FD2A18A04C4DA045F8FB5CE073679E7A2F2,C,Hash of Scarborough restricted T1b QC,T1b permitted covariate summaries only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,Zero of two families qualified because no single source object supplied exact common4-SPP
preunlock_integration_v3_manifest_sha256,77DA1670D81EDE7A266000E4006B5CE83176AFE2E9F80821BECF37AA969F1D47,C,Hash of 99-file immutable inventory and field-gate integration,Acquisition metadata identity and T1b covariate status only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,Field gate remains 7 of 8; outcome remains locked
preunlock_extension_v4_T1a_manifest_sha256,2A9F6C79EF9768F5BA7AA00A97C9D80131C5707A18EB74061006CDFBCA5B54AF,C,Hash of Prelude three-archive T1a audit,ZIP central directory and LAS headers only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,Three archives hash matched; nine LAS headers; no numeric arrays or ROP values read
preunlock_extension_v4_T1b_v1_manifest_sha256,3062AA69168E96E5B9724526E8F1EBBC3A1055C39E1D74BC08D6DB6EC65CFF49,C,Hash of retained initial Prelude restricted T1b QC,T1b permitted covariate summaries only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,Initial fail-closed mapping held all three families on exact semantic synonyms
preunlock_extension_v4_T1b_v2_manifest_sha256,F004CC1FA876CE1C33856A00DB9C6F9B50162DA76897A9D412CB56ADB544CCBB,C,Hash of globally amended Prelude restricted T1b QC,T1b permitted covariate summaries only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,All three families qualified; prior-cohort impact scan found zero matching tokens
preunlock_integration_v4_manifest_sha256,7BFA648CE66FCF8338E02525450C82708949704709BAA28C8818764464641030,C,Hash of 102-file inventory and field-gate integration,Acquisition metadata identity and T1b covariate status only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,Field gate reaches 8 of 8; outcome remains locked pending complete v1.0 freeze
