record_status,dependence_family_id,basin_context,petroleum_field,nopta_well_id,well_name,archive_names,selected_source_object,T1b_descriptive_status,T2_qualified,preunlock_family_disposition,scorable_status_T3,primary_field_preunlock_status,primary_field_T3_rule,principal_decision,principal_decision_datetime_utc,numeric_ROP_accessed
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_6960,Otway Basin,Geographe,6960,Geographe 4,,Geographe_4_LWD/DRILLING_MECHANICS/Geographe4_RM_DrillingMechanicsDepth_107-4990m.las,LABEL_BLINDED_QUALIFIED,true,QUALIFIED,NOT_EVALUATED_ROP_LOCKED,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_6826,Northern Carnarvon Basin,Gorgon,6826,GOR 1A,,MWD-LWD/LAS/GOR-1A_LWD_RM_Drilling Mech Depth Based_Well Composite_240-4795.50m.las,LABEL_BLINDED_QUALIFIED,true,QUALIFIED,NOT_EVALUATED_ROP_LOCKED,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_6827,Northern Carnarvon Basin,Gorgon,6827,GOR 1B,,MWD-LWD/ASCII/GOR-1B_LWD RM Drilling Mech Depth Based_Well Composite_240-5303.5m.las,LABEL_BLINDED_QUALIFIED,true,QUALIFIED,NOT_EVALUATED_ROP_LOCKED,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_7456,Northern Carnarvon Basin,Gorgon,7456,GOR 4C,,MWD-LWD/ASCII/GOR-4C_RM_Drilling Mech Depth Based_Well Composite_277.1-4803m.las,LABEL_BLINDED_QUALIFIED,true,QUALIFIED,NOT_EVALUATED_ROP_LOCKED,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_6933,Browse Basin,Ichthys,6933,BDC 1C 06,,BDC-1C-06_CD953_LWD/ASCII/160228_IOA_F54_BDC-1C-06_DML_Run 5.las,LABEL_BLINDED_QUALIFIED,true,QUALIFIED,NOT_EVALUATED_ROP_LOCKED,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_7448,Browse Basin,Ichthys,7448,BDC 1A 06,,19AWA0024_INPEX_BDC-1A-06_Final_Deliverable-_Depth_shifted_V2_Final_T13948/ASCII/190723_IOA_F55_BDC-1A-06_DML_Run08.las,LABEL_BLINDED_QUALIFIED,true,QUALIFIED,NOT_EVALUATED_ROP_LOCKED,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_7876,Browse Basin,Ichthys,7876,BDC 2 04 Phase 2,,3_BDC-2-04_MWD_LWD/2_Main_well/ASCII/DML/231102_IOA_F44_BDC-2-04_DML_5664_Interpolated.las,LABEL_BLINDED_QUALIFIED,true,QUALIFIED,NOT_EVALUATED_ROP_LOCKED,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_7879,Browse Basin,Ichthys,7879,BDC 1D 02,,,HELD_NO_EXACT_COMMON4_LAS_QC,false,HELD_RETAINED_IN_FLOW,NOT_EVALUATED_ROP_LOCKED,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_804,Browse Basin,Ichthys,804,BDC 2 01 and ST1,,3_BDC-2-01_01ST1_MWD_LWD/BDC-2-01ST1_Final_Deliverables/ASCII/DML/240121_IOA_F30_BDC-2-01ST1_DML_6746_Interpolated.las,LABEL_BLINDED_QUALIFIED,true,QUALIFIED,NOT_EVALUATED_ROP_LOCKED,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_7354,Northern Carnarvon Basin,Jansz-Io,7354,JZI 1C,,,HELD_NO_EXACT_COMMON4_LAS_QC,false,HELD_RETAINED_IN_FLOW,NOT_EVALUATED_ROP_LOCKED,NOT_PRIMARY_ELIGIBLE_LT_2_QUALIFIED_FAMILIES,RETAIN_IN_FLOW_NOT_PRIMARY_PREUNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_7451,Northern Carnarvon Basin,Jansz-Io,7451,JZI 3C,,LWD_Data/LAS/JZI-3C LWD Drilling Mech Depth Based Well Composite 1325-3507.6m.las,LABEL_BLINDED_QC_FAILED,false,HELD_RETAINED_IN_FLOW,NOT_EVALUATED_ROP_LOCKED,NOT_PRIMARY_ELIGIBLE_LT_2_QUALIFIED_FAMILIES,RETAIN_IN_FLOW_NOT_PRIMARY_PREUNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_6740,Northern Carnarvon Basin,Macedon,6740,Macedon 10,P00636911.zip,,HELD_NO_QUALIFYING_SOURCE_OBJECT,false,HELD_RETAINED_IN_FLOW,NOT_EVALUATED_ROP_LOCKED,NOT_PRIMARY_ELIGIBLE_LT_2_QUALIFIED_FAMILIES,RETAIN_IN_FLOW_NOT_PRIMARY_PREUNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_6747,Northern Carnarvon Basin,Macedon,6747,Macedon 9,P00636910.zip,,HELD_NO_QUALIFYING_SOURCE_OBJECT,false,HELD_RETAINED_IN_FLOW,NOT_EVALUATED_ROP_LOCKED,NOT_PRIMARY_ELIGIBLE_LT_2_QUALIFIED_FAMILIES,RETAIN_IN_FLOW_NOT_PRIMARY_PREUNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_7019,Bonaparte Basin,Montara,7019,Montara H5 ST2,,MWD_LWD/ASCII/Montara_H5_ST-2_DrillingMechanics_RM_Depth_1670-5240m_MD_Interpolated.las,LABEL_BLINDED_QUALIFIED,true,QUALIFIED,NOT_EVALUATED_ROP_LOCKED,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_7021,Bonaparte Basin,Montara,7021,Montara H4,D00013848.zip,,HELD_NO_QUALIFYING_SOURCE_OBJECT,false,HELD_RETAINED_IN_FLOW,NOT_EVALUATED_ROP_LOCKED,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_7070,Bonaparte Basin,Montara,7070,Montara H2 Phase 2,D00013604.zip,Montara_H2_Digital_Data/LWD/ASCII/PTTEP_Montara-H2_DrillMech_Time_LAS_RM_R2.las,LABEL_BLINDED_QUALIFIED,true,QUALIFIED,NOT_EVALUATED_ROP_LOCKED,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_7071,Bonaparte Basin,Montara,7071,Montara H3 ST1 Phase 2,D00013602.zip,Montar_H3_ST1_Digital_Data/LWD/ASCII/Montara-H3-ST1_DrillingMechanics_Time_10May12.las,LABEL_BLINDED_QUALIFIED,true,QUALIFIED,NOT_EVALUATED_ROP_LOCKED,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_7466,Bonaparte Basin,Montara,7466,Montara H6,,Appendix_7_LWD/Montara-H6_ST1/PWD-Vibration/Run_1500/Montara-H6 ST1_LWD_REC_DDS-PWD_Time_0030-1630hrs_300821-030921.las,LABEL_BLINDED_QC_FAILED,false,HELD_RETAINED_IN_FLOW,NOT_EVALUATED_ROP_LOCKED,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_6896,Browse Basin,Prelude,6896,Prelude P3,D00017019.zip,Digital_Data_Mudlogging/Ascii/Drill/Prelude P3_DrillData_259.5-5140.0mMDRT.LAS,LABEL_BLINDED_QUALIFIED,true,QUALIFIED,NOT_EVALUATED_ROP_LOCKED,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_6898,Browse Basin,Prelude,6898,Prelude P4,D00017023.zip,Digital_Data_Mudlogging/Ascii/Drill_Ascii/Prelude P4_Drilldata_259.2-5463.0mMDRT.LAS,LABEL_BLINDED_QUALIFIED,true,QUALIFIED,NOT_EVALUATED_ROP_LOCKED,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_6900,Browse Basin,Prelude,6900,Prelude P6,D00017033.zip,Digital_Data_Mudlogging/Ascii/Drill_Ascii/Prelude P6_Drilldata_258.9-5277.0mMDRT.LAS,LABEL_BLINDED_QUALIFIED,true,QUALIFIED,NOT_EVALUATED_ROP_LOCKED,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_6355,Northern Carnarvon Basin,Scarborough,6355,Scarborough 5,D00010755.zip,,HELD_NO_QUALIFYING_SOURCE_OBJECT,false,HELD_RETAINED_IN_FLOW,NOT_EVALUATED_ROP_LOCKED,NOT_PRIMARY_ELIGIBLE_LT_2_QUALIFIED_FAMILIES,RETAIN_IN_FLOW_NOT_PRIMARY_PREUNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_6360|6361,Northern Carnarvon Basin,Scarborough,6360|6361,Scarborough 4/4A,D00010740.zip,,HELD_NO_QUALIFYING_SOURCE_OBJECT,false,HELD_RETAINED_IN_FLOW,NOT_EVALUATED_ROP_LOCKED,NOT_PRIMARY_ELIGIBLE_LT_2_QUALIFIED_FAMILIES,RETAIN_IN_FLOW_NOT_PRIMARY_PREUNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_810,Northern Carnarvon Basin,Scarborough,810,SCA 03,,3_MWD_LWD/02_26in_Hole_Section/Run_200/03_Drilling_Mechanics/02_Digital_Data_Files/SCA03_DM_REC_2600in_DM-DDS-PWD_SR10cm_1694m.las,LABEL_BLINDED_QUALIFIED,true,QUALIFIED,NOT_EVALUATED_ROP_LOCKED,NOT_PRIMARY_ELIGIBLE_LT_2_QUALIFIED_FAMILIES,RETAIN_IN_FLOW_NOT_PRIMARY_PREUNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_6963,Otway Basin,Thylacine,6963,Thylacine North 1,,LWD/DRILLING_MECHANICS/ThylacineNorth1_RM_DrillingMechanicsDepth_123-2790m.las,LABEL_BLINDED_QUALIFIED,true,QUALIFIED,NOT_EVALUATED_ROP_LOCKED,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_6970,Otway Basin,Thylacine,6970,Thylacine North 2,,DRILLING_MECHANICS/ThylacineNorth2_RM_DrillingMechanicsDepth_120-6025m_LAS.las,LABEL_BLINDED_QUALIFIED,true,QUALIFIED,NOT_EVALUATED_ROP_LOCKED,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
